Seconds,BPM,Presentase_HR_Max,Intensitas_Olahraga
2900,109,54.50,Very Light
2901,108,54.00,Very Light
2902,108,54.00,Very Light
2903,108,54.00,Very Light
2904,109,54.50,Very Light
2905,110,55.00,Very Light
2906,110,55.00,Very Light
2907,112,56.00,Very Light
2908,114,57.00,Very Light
2909,115,57.50,Very Light
2910,115,57.50,Very Light
2911,115,57.50,Very Light
2912,111,55.50,Very Light
2913,109,54.50,Very Light
2914,109,54.50,Very Light
2915,109,54.50,Very Light
2916,111,55.50,Very Light
2917,113,56.50,Very Light
2918,113,56.50,Very Light
2919,113,56.50,Very Light
2920,115,57.50,Very Light
2921,115,57.50,Very Light
2922,114,57.00,Very Light
2923,113,56.50,Very Light
2924,110,55.00,Very Light
2925,108,54.00,Very Light
2926,108,54.00,Very Light
2927,108,54.00,Very Light
2928,110,55.00,Very Light
2929,110,55.00,Very Light
2930,110,55.00,Very Light
2931,110,55.00,Very Light
2932,110,55.00,Very Light
2933,110,55.00,Very Light
2934,109,54.50,Very Light
2935,109,54.50,Very Light
2936,109,54.50,Very Light
2937,109,54.50,Very Light
2938,110,55.00,Very Light
2939,109,54.50,Very Light
2940,109,54.50,Very Light
2941,108,54.00,Very Light
2942,107,53.50,Very Light
2943,107,53.50,Very Light
2944,107,53.50,Very Light
2945,107,53.50,Very Light
2946,108,54.00,Very Light
2947,109,54.50,Very Light
2948,110,55.00,Very Light
2949,110,55.00,Very Light
2950,110,55.00,Very Light
2951,109,54.50,Very Light
2952,108,54.00,Very Light
2953,108,54.00,Very Light
2954,109,54.50,Very Light
2955,109,54.50,Very Light
2956,109,54.50,Very Light
2957,110,55.00,Very Light
2958,110,55.00,Very Light
2959,111,55.50,Very Light
2960,113,56.50,Very Light
2961,113,56.50,Very Light
2962,113,56.50,Very Light
2963,111,55.50,Very Light
2964,107,53.50,Very Light
2965,105,52.50,Very Light
2966,101,50.50,Very Light
2967,101,50.50,Very Light
2968,100,50.00,Very Light
2969,101,50.50,Very Light
2970,102,51.00,Very Light
2971,104,52.00,Very Light
2972,106,53.00,Very Light
2973,106,53.00,Very Light
2974,107,53.50,Very Light
2975,107,53.50,Very Light
2976,109,54.50,Very Light
2977,111,55.50,Very Light
2978,113,56.50,Very Light
2979,113,56.50,Very Light
2980,115,57.50,Very Light
2981,116,58.00,Very Light
2982,118,59.00,Very Light
2983,120,60.00,Light
2984,123,61.50,Light
2985,123,61.50,Light
2986,122,61.00,Light
2987,120,60.00,Light
2988,118,59.00,Very Light
2989,118,59.00,Very Light
2990,116,58.00,Very Light
2991,115,57.50,Very Light
2992,115,57.50,Very Light
2993,116,58.00,Very Light
2994,116,58.00,Very Light
2995,117,58.50,Very Light
2996,120,60.00,Light
2997,121,60.50,Light
2998,123,61.50,Light
2999,124,62.00,Light
3000,125,62.50,Light
3001,125,62.50,Light
3002,125,62.50,Light
3003,125,62.50,Light
3004,124,62.00,Light
3005,124,62.00,Light
3006,124,62.00,Light
3007,124,62.00,Light
3008,125,62.50,Light
3009,125,62.50,Light
3010,124,62.00,Light
3011,122,61.00,Light
3012,122,61.00,Light
3013,117,58.50,Very Light
3014,115,57.50,Very Light
3015,115,57.50,Very Light
3016,115,57.50,Very Light
3017,114,57.00,Very Light
3018,113,56.50,Very Light
3019,112,56.00,Very Light
3020,107,53.50,Very Light
3021,106,53.00,Very Light
3022,102,51.00,Very Light
3023,100,50.00,Very Light
3024,97,48.50,Unknown
3025,96,48.00,Unknown
3026,96,48.00,Unknown
3027,96,48.00,Unknown
3028,97,48.50,Unknown
3029,99,49.50,Unknown
3030,99,49.50,Unknown
3031,100,50.00,Very Light
3032,99,49.50,Unknown
3033,98,49.00,Unknown
3034,97,48.50,Unknown
3035,97,48.50,Unknown
3036,98,49.00,Unknown
3037,98,49.00,Unknown
3038,99,49.50,Unknown
3039,99,49.50,Unknown
3040,100,50.00,Very Light
3041,102,51.00,Very Light
3042,103,51.50,Very Light
3043,104,52.00,Very Light
3044,109,54.50,Very Light
3045,111,55.50,Very Light
3046,113,56.50,Very Light
3047,114,57.00,Very Light
3048,114,57.00,Very Light
3049,114,57.00,Very Light
3050,114,57.00,Very Light
3051,114,57.00,Very Light
3052,114,57.00,Very Light
3053,114,57.00,Very Light
3054,113,56.50,Very Light
3055,112,56.00,Very Light
3056,111,55.50,Very Light
3057,110,55.00,Very Light
3058,110,55.00,Very Light
3059,110,55.00,Very Light
3060,110,55.00,Very Light
3061,108,54.00,Very Light
3062,107,53.50,Very Light
3063,107,53.50,Very Light
3064,106,53.00,Very Light
3065,104,52.00,Very Light
3066,104,52.00,Very Light
3067,104,52.00,Very Light
3068,107,53.50,Very Light
3069,109,54.50,Very Light
3070,109,54.50,Very Light
3071,109,54.50,Very Light
3072,107,53.50,Very Light
3073,105,52.50,Very Light
3074,104,52.00,Very Light
3075,104,52.00,Very Light
3076,103,51.50,Very Light
3077,103,51.50,Very Light
3078,104,52.00,Very Light
3079,104,52.00,Very Light
3080,105,52.50,Very Light
3081,105,52.50,Very Light
3082,105,52.50,Very Light
3083,103,51.50,Very Light
3084,103,51.50,Very Light
3085,103,51.50,Very Light
3086,105,52.50,Very Light
3087,105,52.50,Very Light
3088,106,53.00,Very Light
3089,107,53.50,Very Light
3090,108,54.00,Very Light
3091,108,54.00,Very Light
3092,104,52.00,Very Light
3093,103,51.50,Very Light
3094,103,51.50,Very Light
